Description,Code
ABDUCTION/ KIDNAPPING,100A
ALL OTHER REPORTABLE OFFENSES,90ZZ
ALTERING STATE TAGS,90Z1
ANNOYING PHONE CALLS/ HARASSING COMMUNICATION,90Z2
ARSON,200
"ASSAULT, AGGRAVATED",13A1
"ASSAULT, AGGRAVATED, DOMESTIC",13A4
"ASSAULT, AGGRAVATED/ ATMP MURDER",13A2
"ASSAULT, SIMPLE",13B1
"ASSAULT, SIMPLE, DOMESTIC",13B2
ASSISTING OR PROMOTING PROSTITUTION (PANDERING OR PROCURING),40B
"AUTO FATALITY, NEGLIGENT",09B2
BAD CHECKS,90A
BETTING/ WAGERING,39A1
BOMB THREATS,13C6
BOOKMAKING/ NUMBERS,39A2
BRIBERY,510
"BURGLARY/ B & E, COMMERCIAL",220B
"BURGLARY/ B & E, RESIDENTIAL",220A
CONCEALMENT/ PRICE CHANGING,280B
CONSPIRACY TO COMMIT GROUP A OFFENSE,90X
CONSPIRACY TO COMMIT GROUP B OFFENSE,90Y
"COUNTERFEITING/ FORGERY, ALL OTHERS",250A
CRIMES AGAINST NATURE,90Z3
CROSS BURNING,290E
CRUELTY TO ANIMALS,90Z4
CURFEW,90B1
CURSING/ OBSCENE LANGUAGE,90B4
"DESTRUCTION OF PROPERTY, CITY - GRAFFITI",290C
"DESTRUCTION OF PROPERTY, CITY PROPERTY",290A
"DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI",290D
"DESTRUCTION OF PROPERTY, PRIVATE PROPERTY",290B
DISORDERLY CONDUCT,90C1
DISTURBING THE PEACE,90C2
"DRIVING UNDER THE INFLUENCE, ALCOHOL",90D1
"DRIVING UNDER THE INFLUENCE, DRUGS",90D2
DRUG/ EQUIPMENT VIOLATIONS,35B
DRUG/ NARCOTIC VIOLATIONS,35A1
DRUNKENNESS,90E
EMBEZZLEMENT,270A
ENTICEMENT,13C2
ESCAPE FROM CUSTODY,90Z5
EXTORTION,210
FAILURE TO RETURN RENTED PROPERTY,90Z6
FALSE ALARM,90Z7
FALSE INFORMATION TO POLICE,90Z8
"FAMILY OFFENSE, NONVIOLENT, CHILD ABUSE",90F2
"FAMILY OFFENSE, NONVIOLENT, CHILD ENDANGERMENT",90F4
"FAMILY OFFENSE, NONVIOLENT, CHILD NEGLECT",90F1
"FAMILY OFFENSE, NONVIOLENT, CONTRIBUTE TO DELINQUENCY OF MIN",90F3
FORCIBLE FONDLING,11D1
FORCIBLE INDECENT LIBERTIES,11B2
FORCIBLE RAPE,11A
FORCIBLE SODOMY,11B1
